command
assignee of issue 24,issue_assignees
I want to have a list of developers with open issues,developers_with_most_open_issues
which developers are overloaded with open issues,developers_with_most_open_issues
give me a list of the releases in the repository,list_releases
How many commits are in the development branch,number_of_commits_in_branch
count the number of commits in branch TheBranch,number_of_commits_in_branch
last developer to touch server.rb,last_developer_to_touch_a_file
show me the last person to change actions.java,last_developer_to_touch_a_file
Who is the assignee on the pull request 121,pr_assignees
Who should fix pull request 1,pr_assignees
number of collaborators,number_of_collaborators
How many collaborators ?,number_of_collaborators
list the languages,list_languages
What are the programming languages used in the repo,list_languages
initial commmit in branch,intial_commit_in_branch
who has the first commit in branch xxyx,intial_commit_in_branch
How many commits has Khaled made,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
give me a list of commits related to pull request 564,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
Bigest file in the repository,largest_files
large files,largest_files
who made the last commit,latest_commit
the most recent commit,latest_commit
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open pull request,longest_open_pr
newest release,latest_release
latest release,latest_release
when was the last commit made in ths branch,latest_commit_in_branch
who made the last commit in master,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
which issue has been open the longest,longest_open_issue
what is the longest open issue,longest_open_issue
What were the recent events in the repository,activity_report
What happened in the last 24 hours,activity_report
daily report,activity_report
the inital commit,intial_commit
who has the first commit,intial_commit
What was the date of creation for pr 4,pr_creation_date
show me the creation date for pr 3,pr_creation_date
pull request 546 creation date,pr_creation_date
when was issue 24 created,issue_creation_date
issue 546 creation date,issue_creation_date
When was issue 1109 opened,issue_creation_date
what is the number of closed pull requests,number_of_prs
I want to know the number of pulls,number_of_prs
please provide a report about closed pull requests in the repo,number_of_prs
number of issues,number_of_issues
Give me the bugs report,number_of_issues
what is the number of closed issues,number_of_issues
when was the most recent PR?,most_recent_prs
what are the newest prs,most_recent_prs
give me a list of new pull requests,most_recent_prs
show me a list of changed files in pr 6744,files_changed_by_pr
what are the file changes introduced by 6744,files_changed_by_pr
list me the files affected by pr number 4,files_changed_by_pr
list the top contributors,top_contributors
Who committed the most to this repository,top_contributors
who has the highest number of commits,top_contributors
show me the most recent issues,most_recent_issues
list the recent open issues,most_recent_issues
give me a list of the most recent issues,most_recent_issues
pr 546 closing date,pr_closing_date
At what time was pull request 2315 closed,pr_closing_date
when did we close pr 4783,pr_closing_date
show me the closing date for pull request 3,pr_closing_date
was issue 24 closed ?,issue_closing_date
when did we close issue 4783,issue_closing_date
show me the closing date for issue 3,issue_closing_date
give me the user that opened issue 888,issue_creator
who is the developer that opened issue 964,issue_creator
show me who opned issue 1235,issue_creator
who opened issue 6744,issue_creator
show me pr 84161 contributors,pr_contributors
who are the people who commented on pr 9521,pr_contributors
who are the contributors to pr 964,pr_contributors
who opened pr 6744,pr_creator
who created pull request 9521,pr_creator
give me the user that opened pr 888,pr_creator
who opened pr 9521,pr_creator
who merged pr 3234,pr_closer
show me who closed pull request 1235,pr_closer
pr 774 merger,pr_closer
who closed issue 9521,issue_closer
give me the user that resolved issue 888,issue_closer
show me who closed issue 74,issue_closer
issue 774 resolver,issue_closer
main branch?,default_branch
let me know which branch is the main one?,default_branch
give me the main branch in the repository?,default_branch
Who owns the repository?,repository_owner
which user owns this repository,repository_owner
tell me the name of the repository owner,repository_owner
can you tell me the owner name,repository_owner
how many watchers,number_of_watchers
watchers count?,number_of_watchers
How many watchers?,number_of_watchers
I want to know the number of people watching the the repository,number_of_watchers
Main programming language?,main_programming_language
give me the main programming language,main_programming_language
most used programming language,main_programming_language
which language are we using the most?,main_programming_language
repository license,repository_license
what is the repository legal license?,repository_license
give me the legal licence,repository_license
Under which license does the repository work,repository_license
show me issue 84161 contributors,issue_contributors
show me who helped on issue 1235,issue_contributors
who worked on 33,issue_contributors
contributors to issue 3234,issue_contributors
repository topics,repository_topics
repository topics that we have?,repository_topics
what topics do we have in this repository?,repository_topics
what are the repository topics,repository_topics
topics for this repository?,repository_topics
At what time was this project started?,repository_creation_date
When did I start the project?,repository_creation_date
when did we create the repository,repository_creation_date
what was the date of creation for the repository?,repository_creation_date
show me who created the file bridge.py,file_creator
name the developer who created file users.db,file_creator
which developer started file actions.java?,file_creator
who added the file response.java ?,file_creator
who created this file index.js,file_creator
which developer created file main.py?,file_creator
show me the linked commits to issue 84161,issue_related_commits
show me commits related to this issue 3234?,issue_related_commits
what commits are related to 3234?,issue_related_commits
what commits were mentioned issue 74?,issue_related_commits
give me a the commits related to issue 564,issue_related_commits
