command
developers with most open issues,developers_with_most_open_issues
last developer to touch server.rb,last_developer_to_touch_a_file
Who should fix issue 1,issue_assignees
can you list the releases we have,list_releases
what are the releases in this repository,list_releases
count the number of commits in branch TheBranch,number_of_commits_in_branch
Who are the assignees on pr 1,pr_assignees
pr 347 assignees,pr_assignees
How many developers have worked on this repository ?,number_of_collaborators
What are the programming languages used in the repo,list_languages
technologies and languages used in the repo,list_languages
How many contributions does Makram have,contributions_by_developer
give me a list of commits related to pull request 564,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
latest release,latest_release
when was the last commit made in ths branch,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
initial commmit in branch,intial_commit_in_branch
first commit in branch X,intial_commit_in_branch
largest file in size,largest_files
biggest file,largest_files
the most recent commit,latest_commit
when was the last commit made,latest_commit
pull request that has been open for a long time,longest_open_pr
longest open pr,longest_open_pr
which issue was open for the longest amount of time,longest_open_issue
longest open issue,longest_open_issue
progress report,activity_report
repository activity in the last day ?,activity_report
when did we open issue 4783,issue_creation_date
can you tell me the date 2 was opened ?,issue_creation_date
count open pull requests,number_of_prs
How many open prs,number_of_prs
please provide a report about closed issues in the repo,number_of_issues
count open issues,number_of_issues
who commited first to the repo,intial_commit
who has the initial commit in the repository,intial_commit
What was the date when pull request with number 432 was created,pr_creation_date
show me the creation date for pr 3,pr_creation_date
pr 546 creation date,pr_creation_date
when was the most recent PR?,most_recent_prs
most recent pull requests,most_recent_prs
pr 13 changed files,files_changed_by_pr
what are the file changes introduced by 6744,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
show me the newest issues in the repository,most_recent_issues
newest issues,most_recent_issues
who contributed the most to this repository,top_contributors
list the top contributors,top_contributors
show me the list of the top contributers,top_contributors
When did issue 214 finally close,issue_closing_date
What was the date when issue 432 was resolved,issue_closing_date
list all the developers who commented on pr 3,pr_contributors
pr 13 contributors,pr_contributors
show me the developers who commented on pr 888,pr_contributors
What was the date of closing pr 4,pr_closing_date
when was pull request 674 merged,pr_closing_date
When did pr 214 finally close,pr_closing_date
show me who created issue 74,issue_creator
creator of issue 3234,issue_creator
show me who opned issue 1235,issue_creator
show me who opned pull request 1235,pr_creator
pr 13 creator,pr_creator
creator of pull request 3234,pr_creator
who closed pull request 6744,pr_closer
show me who closed pr 74,pr_closer
give me the user that merged pr 888,pr_closer
show me issue 84161 closer,issue_closer
show me who closed issue 74,issue_closer
closer of issue 3234,issue_closer
watchers count?,number_of_watchers
how many watchers for the repository?,number_of_watchers
how many watchers,number_of_watchers
Which branch is considered as default,default_branch
which branch is deafualt out of the ones we have?,default_branch
main branch?,default_branch
most used programming language,main_programming_language
Tell me the dominant programming language,main_programming_language
what programming language is most used?,main_programming_language
can you tell me the owner name,repository_owner
I would like to know the person who owns the repository,repository_owner
Who owns the repository?,repository_owner
repository license,repository_license
give me the legal licence,repository_license
I would like to know the repository license,repository_license
show me who contributed to issue 74,issue_contributors
who touched 98,issue_contributors
show me the developers who commented on issue 888,issue_contributors
what are the topics for the repository ?,repository_topics
topics related to the repository?,repository_topics
what topics are related to our repository?,repository_topics
repository topics that we have?,repository_topics
When did this project start?,repository_creation_date
repository creation date,repository_creation_date
give me the creation date for the repository,repository_creation_date
when was this repository created?,repository_creation_date
for file map.json who created it?,file_creator
who created file index.js?,file_creator
who first added this file domain.yml ?,file_creator
who created map.json?,file_creator
show me the related commits to issue 84161,issue_related_commits
list me the commits that mentioned issue 888,issue_related_commits
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
give me a list of all the branches in the repository,list_branches
give me the branches that we have,list_branches
what branches do we have in repository,list_branches
let me know the names of all branches,list_branches
give me a list of the names of all branches in the repo?,list_branches
count for me the number of branches,number_of_branches
How many branches?,number_of_branches
let me know how many branches are in the repository,number_of_branches
in this repository what is the total count of branches,number_of_branches
branches count,number_of_branches
give me a count of all the commits,number_of_commits
number of commits,number_of_commits
how many commits in total?,number_of_commits
provide me with the total number of commits,number_of_commits
please let me know the number of commits in the repo,number_of_commits
"In this repository, how many commits do I have?",number_of_commits
how many subscribers in total?,number_of_subscribers
count all the subscribers for me,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
subscribers count?,number_of_subscribers
let me know how many stars are in the repository,number_of_stars
provide me with the total number of stars,number_of_stars
how many stars do I have,number_of_stars
I would like to know how many stars are there in total?,number_of_stars
how many stars do I have?,number_of_stars
How many stars?,number_of_stars
how many forks do I have?,number_of_forks
count for me the number of forks that I have,number_of_forks
how many forks in total?,number_of_forks
How many forks?,number_of_forks
"In this repository, how many forks do I have?",number_of_forks
count for me the number of forks,number_of_forks
list who worked on this project,list_collaborators
give me a list of all the contributors to the repository,list_collaborators
list all the people who worked on the project,list_collaborators
list the names of all the collaborators?,list_collaborators
who collaborated in the repository?,list_collaborators
who contributed to the repository?,list_collaborators
how many downloads in total?,number_of_downloads
how many downloads in total for repository?,number_of_downloads
How many downloads?,number_of_downloads
how many downloads do I have?,number_of_downloads
count the repository downloads,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
